full_name,html_url,pushed_at,updated_at,owner
Abhinov7402/Katragadda_OUDSA5900,https://github.com/Abhinov7402/Katragadda_OUDSA5900,2025-12-27T20:12:30Z,2025-12-27T20:12:34Z,Abhinov7402
adityakasturi8/Analysis-of-Disrupted-Transportation-Network-in-a-Multi-Hazard-Scenario,https://github.com/adityakasturi8/Analysis-of-Disrupted-Transportation-Network-in-a-Multi-Hazard-Scenario,2022-07-30T21:20:29Z,2025-02-10T20:44:12Z,adityakasturi8
AjayDasAkunuri/Akunuri_OUDSA5900,https://github.com/AjayDasAkunuri/Akunuri_OUDSA5900,2025-11-08T01:37:12Z,2025-10-10T00:06:39Z,AjayDasAkunuri
Ajordan10/ProfessionalPractice23,https://github.com/Ajordan10/ProfessionalPractice23,2023-07-17T23:06:19Z,2023-06-06T21:14:52Z,Ajordan10
ak3737/ASGHAR_OUDSA5900,https://github.com/ak3737/ASGHAR_OUDSA5900,2024-04-27T04:59:09Z,2024-04-27T04:59:12Z,ak3737
aksharaArcot/Arcot_OUDSA5900,https://github.com/aksharaArcot/Arcot_OUDSA5900,2021-03-13T03:13:27Z,2021-03-13T03:17:37Z,aksharaArcot
amakhlouf1/Makhlouf_OUDSA5900,https://github.com/amakhlouf1/Makhlouf_OUDSA5900,2023-08-21T17:16:14Z,2023-08-21T17:16:14Z,amakhlouf1
anandamoyb/bhattacharya_OUDSA5900,https://github.com/anandamoyb/bhattacharya_OUDSA5900,2021-04-28T01:31:41Z,2021-04-28T01:31:43Z,anandamoyb
anozman/Nozka_OUDSA5900,https://github.com/anozman/Nozka_OUDSA5900,2024-04-28T19:04:39Z,2024-04-28T19:04:42Z,anozman
asvasan1974/Srinivasan_OUDSA5900,https://github.com/asvasan1974/Srinivasan_OUDSA5900,2021-07-13T00:27:12Z,2021-07-13T00:27:14Z,asvasan1974
AustinMould/Mould_OUDSA5900,https://github.com/AustinMould/Mould_OUDSA5900,2024-04-26T20:11:02Z,2024-04-26T20:11:06Z,AustinMould
ayohamzat96/hamzat_OUDSA5900,https://github.com/ayohamzat96/hamzat_OUDSA5900,2022-06-20T22:32:32Z,2022-05-22T23:45:09Z,ayohamzat96
AzmaynInkishaf/INKISHAF_OUDSA5900,https://github.com/AzmaynInkishaf/INKISHAF_OUDSA5900,2025-01-27T18:46:24Z,2025-01-27T18:46:27Z,AzmaynInkishaf
b-khoshroo/Khoshroo_OUDSA5900,https://github.com/b-khoshroo/Khoshroo_OUDSA5900,2023-07-21T00:57:32Z,2023-05-31T21:05:30Z,b-khoshroo
balanagarajunarra-1/narra_OUDSA5900,https://github.com/balanagarajunarra-1/narra_OUDSA5900,2024-04-28T14:14:02Z,2024-05-08T13:51:25Z,balanagarajunarra-1
barbosaMatheus/RulPrediction,https://github.com/barbosaMatheus/RulPrediction,2024-08-04T19:39:26Z,2025-04-24T18:33:30Z,barbosaMatheus
bharawdwajrahul/Bharadwaj_OUDSA5900,https://github.com/bharawdwajrahul/Bharadwaj_OUDSA5900,2024-04-29T06:58:13Z,2024-04-29T06:58:17Z,bharawdwajrahul
Bhavana-parupalli/PARUPALLI_OUDSA5900,https://github.com/Bhavana-parupalli/PARUPALLI_OUDSA5900,2023-01-28T04:22:39Z,2023-01-28T04:22:39Z,Bhavana-parupalli
Bhavesh-Kilaru/NLP-Using-Federated-Learning,https://github.com/Bhavesh-Kilaru/NLP-Using-Federated-Learning,2023-05-01T00:23:11Z,2023-07-08T01:56:43Z,Bhavesh-Kilaru
bhavyareddykanuganti/kanuganti_OUDSA5900,https://github.com/bhavyareddykanuganti/kanuganti_OUDSA5900,2023-06-23T19:46:28Z,2023-06-23T14:48:35Z,bhavyareddykanuganti
BigyaB/Bhattarai_OUDSA5900,https://github.com/BigyaB/Bhattarai_OUDSA5900,2022-04-15T20:25:47Z,2022-04-15T20:05:06Z,BigyaB
biniwollo/Fall24-DSA-5900,https://github.com/biniwollo/Fall24-DSA-5900,2024-11-27T17:06:53Z,2024-11-27T17:06:57Z,biniwollo
bins0000/Binsaleh_OUDSA5900,https://github.com/bins0000/Binsaleh_OUDSA5900,2023-03-21T17:48:04Z,2023-01-30T03:19:22Z,bins0000
Biswas-N/recommendation-systems-for-yelp,https://github.com/Biswas-N/recommendation-systems-for-yelp,2023-11-09T03:15:45Z,2023-11-09T03:55:10Z,Biswas-N
blevick7/Levicki_OUDSA5900,https://github.com/blevick7/Levicki_OUDSA5900,2024-04-26T19:02:47Z,2024-04-26T19:02:51Z,blevick7
bmkeafer2112/Keafer_OUDSA5900,https://github.com/bmkeafer2112/Keafer_OUDSA5900,2022-06-11T10:23:41Z,2022-01-30T19:49:36Z,bmkeafer2112
